,P,Exp P,Log P,Log Exp P
1176,2.157522283431056e-06,0.0152,5.666,1.818
1229,2.1743853577981884e-06,0.0153,5.663,1.815
1178,2.2089927266497387e-06,0.0154,5.656,1.812
4539,2.4222273941892804e-06,0.0155,5.616,1.81
1175,2.717607909686371e-06,0.0156,5.566,1.807
7714,2.7317065113072617e-06,0.0157,5.564,1.804
1173,2.901151859301377e-06,0.0158,5.537,1.801
4499,2.9434039972897675e-06,0.0159,5.531,1.799
1174,2.9643646321220998e-06,0.016,5.528,1.796
7774,3.184775675781804e-06,0.0161,5.497,1.793
7712,3.216156087813924e-06,0.0162,5.493,1.79
7775,3.743016411752849e-06,0.0163,5.427,1.788
1172,3.765725213014933e-06,0.0164,5.424,1.785
4540,3.8446121370068846e-06,0.0165,5.415,1.783
1171,3.93103784176661e-06,0.0166,5.405,1.78
4498,4.442997345330761e-06,0.0167,5.352,1.777
4541,4.998005412599273e-06,0.0168,5.301,1.775
7710,5.081112311105873e-06,0.0169,5.294,1.772
7777,5.090874524668708e-06,0.017,5.293,1.77
4497,6.435515348237145e-06,0.0171,5.191,1.767
4542,6.68602102235631e-06,0.0172,5.175,1.764
1170,6.996435348684486e-06,0.0173,5.155,1.762
1230,7.5835607639058e-06,0.0174,5.12,1.759
7776,7.635330491174941e-06,0.0175,5.117,1.757
7709,7.687524545853162e-06,0.0176,5.114,1.754
1168,7.825447658199367e-06,0.0177,5.106,1.752
1169,7.914719056405588e-06,0.0178,5.102,1.75
1231,8.092648580213251e-06,0.0179,5.092,1.747
4543,8.367302997886018e-06,0.018,5.077,1.745
4547,8.971024748815176e-06,0.0181,5.047,1.742
7778,9.962473367700598e-06,0.0182,5.002,1.74
4496,1.055664960035654e-05,0.0183,4.976,1.738
4544,1.1128309187497868e-05,0.0184,4.954,1.735
1167,1.2263833393466062e-05,0.0185,4.911,1.733
7708,1.2916562337185822e-05,0.0186,4.889,1.73
4495,1.3576284006610684e-05,0.0187,4.867,1.728
4545,1.5458644081863497e-05,0.0188,4.811,1.726
7779,1.6144758210121813e-05,0.0189,4.792,1.724
1235,1.6516546982779877e-05,0.019,4.782,1.721
7707,1.747157224767409e-05,0.0191,4.758,1.719
1233,1.809781195252767e-05,0.0192,4.742,1.717
1232,1.826257201948146e-05,0.0193,4.738,1.714
4546,1.891429563340331e-05,0.0194,4.723,1.712
4548,1.9396974519378804e-05,0.0195,4.712,1.71
4494,2.058912377648309e-05,0.0196,4.686,1.708
1166,2.0653749214691345e-05,0.0197,4.685,1.706
1236,2.0782328581716244e-05,0.0198,4.682,1.703
4493,2.1160482581145503e-05,0.0199,4.674,1.701
7706,2.1208504357325737e-05,0.02,4.673,1.699
1163,2.187517023947017e-05,0.0201,4.66,1.697
1234,2.4391095311165943e-05,0.0202,4.613,1.695
4492,2.4610823333750396e-05,0.0203,4.609,1.693
4549,2.743103469362447e-05,0.0204,4.562,1.69
7705,2.755376701736641e-05,0.0205,4.56,1.688
7703,2.7639501554666777e-05,0.0206,4.558,1.686
7704,2.926524599607996e-05,0.0207,4.534,1.684
4550,2.9613433960066635e-05,0.0208,4.529,1.682
1165,3.126934663222527e-05,0.0209,4.505,1.68
4490,3.141577428202924e-05,0.021,4.503,1.678
1164,3.34256381481974e-05,0.0211,4.476,1.676
1238,3.688769002913029e-05,0.0212,4.433,1.674
4491,4.045206975265557e-05,0.0213,4.393,1.672
4551,4.174639018816947e-05,0.0214,4.379,1.67
7702,4.694727142487511e-05,0.0215,4.328,1.668
4552,4.7788966051080735e-05,0.0216,4.321,1.666
1162,4.960493556416197e-05,0.0217,4.304,1.664
1161,5.373172995048867e-05,0.0218,4.27,1.662
1237,5.441347897214231e-05,0.0219,4.264,1.66
4553,5.779740998472967e-05,0.022,4.238,1.658
4554,6.020120084706789e-05,0.0221,4.22,1.656
7700,6.352674291788433e-05,0.0222,4.197,1.654
7781,6.994462504014575e-05,0.0223,4.155,1.652
1160,7.768848755183538e-05,0.0224,4.11,1.65
7701,7.809830789465985e-05,0.0225,4.107,1.648
7780,8.381147487032807e-05,0.0226,4.077,1.646
1242,8.530651152410702e-05,0.0227,4.069,1.644
4555,8.729593579186271e-05,0.0228,4.059,1.642
1239,9.237792232101631e-05,0.0229,4.034,1.64
7783,9.328835281704876e-05,0.023,4.03,1.638
4488,9.355180925367269e-05,0.0231,4.029,1.636
1240,9.518933281527303e-05,0.0232,4.021,1.635
1158,9.849453726297568e-05,0.0233,4.007,1.633
4556,0.0001003106311555,0.0234,3.999,1.631
1159,0.0001012484396104,0.0235,3.995,1.629
7782,0.0001053602504096,0.0236,3.977,1.627
4489,0.0001113148267317,0.0237,3.953,1.625
1241,0.0001121642797511,0.0238,3.95,1.623
4487,0.0001166297408018,0.0239,3.933,1.622
4557,0.0001287573826321,0.024,3.89,1.62
7784,0.0001335053808595,0.0241,3.875,1.618
1157,0.0001368837371932,0.0242,3.864,1.616
4558,0.0001382478510908,0.0243,3.859,1.614
7699,0.0001403077927851,0.0244,3.853,1.613
1156,0.0001772070067362,0.0245,3.752,1.611
4559,0.0001940445452467,0.0246,3.712,1.609
5373,0.0002132627099602,0.0247,3.671,1.607
1244,0.0002386011740446,0.0248,3.622,1.606
9929,0.0002410908593574,0.0249,3.618,1.604
7786,0.0003327635120562,0.025,3.478,1.602
4561,0.0003426771013751,0.0251,3.465,1.6
1155,0.0003482573979458,0.0252,3.458,1.599
1243,0.0003510995910816,0.0253,3.455,1.597
7785,0.0003561485101576,0.0254,3.448,1.595
6595,0.0003819272556527,0.0255,3.418,1.593
4486,0.0003974570414549,0.0256,3.401,1.592
4560,0.0004202391602094,0.0257,3.377,1.59
4562,0.0004591811105382,0.0258,3.338,1.588
652,0.0004814382004771,0.0259,3.317,1.587
5909,0.0005225270411129,0.026,3.282,1.585
7541,0.0005291980260325,0.0261,3.276,1.583
7698,0.0005562131322602,0.0262,3.255,1.582
1154,0.0006058069602165,0.0263,3.218,1.58
6381,0.0006105449076271,0.0264,3.214,1.578
7787,0.0006146553316404,0.0265,3.211,1.577
4563,0.0006351379704372,0.0266,3.197,1.575
4565,0.0006869086504877,0.0267,3.163,1.573
4564,0.0007140224153903,0.0268,3.146,1.572
2697,0.0007297186421289,0.0269,3.137,1.57
6025,0.0008295944912198,0.027,3.081,1.569
1247,0.0008958960310662,0.0271,3.048,1.567
9384,0.0008972657580284,0.0272,3.047,1.565
2593,0.0008984201139228,0.0273,3.047,1.564
1245,0.0009908248613725,0.0274,3.004,1.562
7697,0.0010050730185916,0.0275,2.998,1.561
4330,0.0010349795988769,0.0276,2.985,1.559
2341,0.0010389385195619,0.0277,2.983,1.558
1153,0.0010885792987175,0.0278,2.963,1.556
1151,0.0011405350652913,0.0279,2.943,1.554
1246,0.0011719093827603,0.028,2.931,1.553
4566,0.0011726749245941,0.0281,2.931,1.551
4567,0.0011858791456576,0.0282,2.926,1.55
1249,0.0011916953049084,0.0283,2.924,1.548
1150,0.0012019652028983,0.0284,2.92,1.547
4485,0.0012406743819746,0.0285,2.906,1.545
1248,0.0012716536505401,0.0286,2.896,1.544
656,0.0012909884534898,0.0287,2.889,1.542
4483,0.0013204320889746,0.0288,2.879,1.541
4568,0.0013405967906252,0.0289,2.873,1.539
3992,0.0013436871566417,0.029,2.872,1.538
4484,0.0013646285886699,0.0291,2.865,1.536
4569,0.0014189628104349,0.0292,2.848,1.535
1250,0.0014345886661392,0.0293,2.843,1.533
1306,0.0014957840889064,0.0294,2.825,1.532
308,0.0015328354432238,0.0295,2.815,1.53
7788,0.0015382901463213,0.0296,2.813,1.529
1152,0.0015460745837081,0.0297,2.811,1.527
7695,0.0016408541127882,0.0298,2.785,1.526
1251,0.0016434543034721,0.0299,2.784,1.524
1252,0.0017941482401623,0.03,2.746,1.523
261,0.0018813664435911,0.0301,2.726,1.521
7696,0.001917072193383,0.0302,2.717,1.52
8456,0.0020004719022912,0.0303,2.699,1.519
7694,0.0020441295915137,0.0304,2.689,1.517
4482,0.0020567277358343,0.0305,2.687,1.516
2226,0.0020704769307479,0.0306,2.684,1.514
127,0.0020751761170943,0.0307,2.683,1.513
5639,0.0021523582901989,0.0308,2.667,1.511
1850,0.0022064775661127,0.0309,2.656,1.51
7066,0.0022320934006682,0.031,2.651,1.509
6634,0.0022517535734447,0.0311,2.647,1.507
6984,0.0022673527819173,0.0312,2.644,1.506
9295,0.0023024923630899,0.0313,2.638,1.504
1856,0.0023303545737383,0.0314,2.633,1.503
4481,0.0023531909282265,0.0315,2.628,1.502
1148,0.0023713331727614,0.0316,2.625,1.5
1149,0.002418521768859,0.0317,2.616,1.499
4570,0.0024229811339018,0.0318,2.616,1.498
4661,0.0024407280689974,0.0319,2.612,1.496
4479,0.0024497798121304,0.032,2.611,1.495
1146,0.0024580293222002,0.0321,2.609,1.493
4571,0.0025769090767812,0.0322,2.589,1.492
4480,0.0026384787254559,0.0323,2.579,1.491
6349,0.0028091786885589,0.0324,2.551,1.489
3129,0.0028307689586938,0.0325,2.548,1.488
2106,0.0030126542911953,0.0326,2.521,1.487
4475,0.0030189586715507,0.0327,2.52,1.485
7693,0.0032562804472754,0.0328,2.487,1.484
4107,0.0032887380705691,0.0329,2.483,1.483
180,0.0033164904395438,0.033,2.479,1.481
4863,0.0034243414461451,0.0331,2.465,1.48
4163,0.0035036435050622,0.0332,2.455,1.479
2050,0.0036020320429884,0.0333,2.443,1.478
8870,0.0036476419562807,0.0334,2.438,1.476
4477,0.0038035929223462,0.0335,2.42,1.475
2386,0.0039618185512509,0.0336,2.402,1.474
589,0.004077449737674,0.0337,2.39,1.472
959,0.0042650026142317,0.0338,2.37,1.471
5494,0.004339810177377,0.0339,2.363,1.47
2201,0.0043496065140312,0.034,2.362,1.469
9456,0.0044007636564051,0.0341,2.356,1.467
181,0.0044246344682076,0.0342,2.354,1.466
8686,0.0044795535258291,0.0343,2.349,1.465
1147,0.0045693626707854,0.0344,2.34,1.463
7626,0.0046888669802606,0.0345,2.329,1.462
9655,0.0047211859748758,0.0346,2.326,1.461
4083,0.0048578876087552,0.0347,2.314,1.46
7259,0.0048994987566508,0.0348,2.31,1.458
1253,0.0050376596652318,0.0349,2.298,1.457
8798,0.0052647924392549,0.035,2.279,1.456
1742,0.0054064201716639,0.0351,2.267,1.455
2517,0.0054908782315521,0.0352,2.26,1.453
4166,0.0055165595948215,0.0353,2.258,1.452
4478,0.0055960850589742,0.0354,2.252,1.451
81,0.0056709263681093,0.0355,2.246,1.45
2410,0.0056918268294267,0.0356,2.245,1.449
8737,0.0057641976182437,0.0357,2.239,1.447
6795,0.0058190717228524,0.0358,2.235,1.446
3039,0.0058561795728892,0.0359,2.232,1.445
1145,0.0058737582451334,0.036,2.231,1.444
1977,0.0061667318301536,0.0361,2.21,1.442
9753,0.0063771061447763,0.0362,2.195,1.441
2025,0.006403726418993,0.0363,2.194,1.44
2093,0.0064595815367504,0.0364,2.19,1.439
1254,0.0065836348051222,0.0365,2.182,1.438
8295,0.0066133789944168,0.0366,2.18,1.437
6403,0.0066197057952668,0.0367,2.179,1.435
130,0.0066596119664316,0.0368,2.177,1.434
2194,0.0067661354456534,0.0369,2.17,1.433
2845,0.0067690674545542,0.037,2.169,1.432
3447,0.0068836863632673,0.0371,2.162,1.431
8842,0.0068920874405418,0.0372,2.162,1.429
1070,0.0070378987229837,0.0373,2.153,1.428
3903,0.0072356603378388,0.0374,2.141,1.427
6998,0.0073011738514207,0.0375,2.137,1.426
6469,0.0073775277848662,0.0376,2.132,1.425
6842,0.0073998967913803,0.0377,2.131,1.424
9548,0.0074879951449501,0.0378,2.126,1.423
165,0.0074940325587895,0.0379,2.125,1.421
8784,0.0075206335107302,0.038,2.124,1.42
4476,0.0076050878537667,0.0381,2.119,1.419
6140,0.0077278831999877,0.0382,2.112,1.418
4031,0.0077558837377049,0.0383,2.11,1.417
9818,0.0078114752690183,0.0384,2.107,1.416
7692,0.0079090698629036,0.0385,2.102,1.415
5020,0.0079471873280642,0.0386,2.1,1.413
1256,0.008004013052615,0.0387,2.097,1.412
7957,0.0080217232291664,0.0388,2.096,1.411
5788,0.0080376977852159,0.0389,2.095,1.41
2113,0.0080712049994287,0.039,2.093,1.409
9234,0.0081212057380344,0.0391,2.09,1.408
5737,0.0081848334850173,0.0392,2.087,1.407
1987,0.0082510604101237,0.0393,2.083,1.406
5128,0.0082566683774019,0.0394,2.083,1.405
1255,0.0083400848336826,0.0395,2.079,1.403
7878,0.0083867401084878,0.0396,2.076,1.402
7341,0.0085165457451851,0.0397,2.07,1.401
9189,0.0087575774641625,0.0398,2.058,1.4
3069,0.0087647320923291,0.0399,2.057,1.399
5430,0.0088330481320533,0.04,2.054,1.398
1727,0.0088780998030066,0.0401,2.052,1.397
6832,0.0089478362973487,0.0402,2.048,1.396
2124,0.0089479322620449,0.0403,2.048,1.395
4150,0.0090199430441234,0.0404,2.045,1.394
9805,0.0090331572843396,0.0405,2.044,1.393
6878,0.0091626928554975,0.0406,2.038,1.391
5711,0.0092270389597815,0.0407,2.035,1.39
6769,0.0092300927305487,0.0408,2.035,1.389
4232,0.0092499221125423,0.0409,2.034,1.388
6284,0.0092620791289915,0.041,2.033,1.387
6301,0.0093112082467497,0.0411,2.031,1.386
5246,0.0093632143476955,0.0412,2.029,1.385
8096,0.0093670160004747,0.0413,2.028,1.384
214,0.0094083916375762,0.0414,2.026,1.383
2149,0.0094341188841347,0.0415,2.025,1.382
488,0.0094728757906685,0.0416,2.024,1.381
4415,0.0095644166726789,0.0417,2.019,1.38
4202,0.0097140597257556,0.0418,2.013,1.379
9719,0.0097617491274,0.0419,2.01,1.378
3044,0.0100038185713672,0.042,2.0,1.377
70,0.0100348734170909,0.0421,1.998,1.376
5822,0.0100473063968029,0.0422,1.998,1.375
6134,0.0101173903893419,0.0423,1.995,1.374
7489,0.0102022261754572,0.0424,1.991,1.373
2947,0.0104021649495024,0.0425,1.983,1.372
1144,0.0105884209864183,0.0426,1.975,1.371
2509,0.0106000808931144,0.0427,1.975,1.37
4474,0.0106222929151182,0.0428,1.974,1.369
5647,0.0107779392792064,0.0429,1.967,1.368
6962,0.0108760621632691,0.043,1.964,1.367
3723,0.0109100846989476,0.0431,1.962,1.366
2181,0.0109534837388826,0.0432,1.96,1.365
9842,0.010976512870792,0.0433,1.96,1.364
9136,0.0111988890267734,0.0434,1.951,1.363
2685,0.0112418287121443,0.0435,1.949,1.362
4021,0.0113194943827823,0.0436,1.946,1.361
412,0.011519703667007,0.0437,1.939,1.36
2145,0.0116793591250316,0.0438,1.933,1.359
2168,0.011763109785759,0.0439,1.929,1.358
1464,0.0120361406338355,0.044,1.92,1.357
3338,0.0120794488269617,0.0441,1.918,1.356
2264,0.012097277125277,0.0442,1.917,1.355
980,0.0121326481565562,0.0443,1.916,1.354
1367,0.0121688225317466,0.0444,1.915,1.353
7828,0.0122053689595764,0.0445,1.913,1.352
7196,0.0122305921817686,0.0446,1.913,1.351
4326,0.0122412897999924,0.0447,1.912,1.35
9874,0.0122656246622212,0.0448,1.911,1.349
6021,0.012819715057982,0.0449,1.892,1.348
1257,0.0129687877477178,0.045,1.887,1.347
9097,0.0130570596141404,0.0451,1.884,1.346
2154,0.0130763906961998,0.0452,1.884,1.345
2500,0.0131295773713157,0.0453,1.882,1.344
1986,0.0131742198853712,0.0454,1.88,1.343
1373,0.0131818169384488,0.0455,1.88,1.342
385,0.0132118719891901,0.0456,1.879,1.341
6004,0.0134038326827779,0.0457,1.873,1.34
5363,0.013405499137334,0.0458,1.873,1.339
1128,0.013534419125765,0.0459,1.869,1.338
6187,0.013541045105558,0.046,1.868,1.337
9447,0.0135567571986465,0.0461,1.868,1.336
7047,0.0135671623226434,0.0462,1.868,1.335
8161,0.0136061105301154,0.0463,1.866,1.334
8348,0.013644162782705,0.0464,1.865,1.333
1879,0.0136806065414711,0.0465,1.864,1.333
3139,0.0137085606586767,0.0466,1.863,1.332
7411,0.0138697688102786,0.0467,1.858,1.331
5571,0.0139509974672805,0.0468,1.855,1.33
8771,0.0139739299062224,0.0469,1.855,1.329
2587,0.0140321107493325,0.047,1.853,1.328
3088,0.0141785184320551,0.0471,1.848,1.327
5098,0.0143564961919249,0.0472,1.843,1.326
8990,0.0150107995191184,0.0473,1.824,1.325
7624,0.0150557204185842,0.0474,1.822,1.324
9943,0.0153566972540275,0.0475,1.814,1.323
9082,0.0153684676197942,0.0476,1.813,1.322
9957,0.0154080948693533,0.0477,1.812,1.321
4178,0.0154446722781062,0.0478,1.811,1.321
3018,0.0154836120599742,0.0479,1.81,1.32
6978,0.0155318843775523,0.048,1.809,1.319
20,0.0155689900567097,0.0481,1.808,1.318
4127,0.0156249600110051,0.0482,1.806,1.317
6371,0.0156571702359932,0.0483,1.805,1.316
7799,0.0158193380784803,0.0484,1.801,1.315
482,0.0158860695152763,0.0485,1.799,1.314
6859,0.0159425023661017,0.0486,1.797,1.313
2108,0.0159606332314475,0.0487,1.797,1.312
8264,0.0161580279460247,0.0488,1.792,1.312
6635,0.0162174860577233,0.0489,1.79,1.311
1482,0.0164040730563871,0.049,1.785,1.31
954,0.0164624788793795,0.0491,1.784,1.309
9403,0.0166401628641125,0.0492,1.779,1.308
9512,0.0166706729213607,0.0493,1.778,1.307
1396,0.0167389844029749,0.0494,1.776,1.306
3829,0.0167435903587354,0.0495,1.776,1.305
2266,0.0167735370153107,0.0496,1.775,1.305
459,0.0169791933149616,0.0497,1.77,1.304
43,0.0170941746035638,0.0498,1.767,1.303
2462,0.0171561127912013,0.0499,1.766,1.302
7145,0.017157364498104,0.05,1.766,1.301
7659,0.0171803301749426,0.0501,1.765,1.3
1591,0.0172293405799969,0.0502,1.764,1.299
5495,0.0173021277162545,0.0503,1.762,1.298
625,0.017344759131244,0.0504,1.761,1.298
7814,0.0173490904707652,0.0505,1.761,1.297
3243,0.0174652591434455,0.0506,1.758,1.296
7360,0.0174909438371338,0.0507,1.757,1.295
6340,0.0175319127070849,0.0508,1.756,1.294
5135,0.0175995571445174,0.0509,1.754,1.293
2686,0.0176668782925969,0.051,1.753,1.292
7835,0.0176859312035702,0.0512,1.752,1.291
5585,0.0180704262559308,0.0513,1.743,1.29
3949,0.0180722886131257,0.0514,1.743,1.289
8387,0.0181771160602743,0.0515,1.74,1.288
4130,0.0182312542621333,0.0516,1.739,1.287
6396,0.0185490286795607,0.0517,1.732,1.287
546,0.0186377023394824,0.0518,1.73,1.286
4780,0.018659688931786,0.0519,1.729,1.285
2499,0.0189222339333536,0.052,1.723,1.284
9244,0.01893766741663,0.0521,1.723,1.283
1462,0.0190625955500613,0.0522,1.72,1.282
9007,0.0191437895675528,0.0523,1.718,1.281
6806,0.0191995379548672,0.0524,1.717,1.281
2221,0.0192421432852972,0.0525,1.716,1.28
1972,0.0192921397413351,0.0526,1.715,1.279
9673,0.0193395857242147,0.0527,1.714,1.278
7535,0.0195117434679441,0.0528,1.71,1.277
4762,0.0195612485144203,0.0529,1.709,1.277
7207,0.0198915710462196,0.053,1.701,1.276
4870,0.0199237060812295,0.0531,1.701,1.275
8791,0.0201586216705883,0.0532,1.696,1.274
6618,0.020181925732423,0.0533,1.695,1.273
2569,0.0202284390160757,0.0534,1.694,1.272
3631,0.0204344268849477,0.0535,1.69,1.272
8391,0.0204650290672919,0.0536,1.689,1.271
7848,0.0205003054184531,0.0537,1.688,1.27
4713,0.0205565639178372,0.0538,1.687,1.269
6973,0.0205981414833022,0.0539,1.686,1.268
6941,0.0207593439563199,0.0541,1.683,1.267
4213,0.0209150269860396,0.0542,1.68,1.266
